ID,Type,From ID,To ID
F531DC1A-BABE-4BB8-A431-1202D9741E58,enables,425D630B-08C9-4BAA-A888-687E7C8ACF35,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
A77FECF7-CF4F-4891-BFBB-32D6C451DCFE,governs,558A84FC-4C30-4FD5-8AE0-F9467FE9FE7D,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
5AB82551-FC03-4326-BDBA-F0B39C6E25A1,enables,6B9381EB-7F15-4605-89DA-1A7ED11BF792,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
9E84ACEC-6272-42EF-AEC7-A0F5CB35D3F5,governs,CE532961-F6D6-415C-AB63-A71A3ACD76A7,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
3EC79B3F-B760-4F5B-A7E9-2EAB7AB5EE3A,outputs,3F0917A5-5161-47B5-BFB9-2A83EF144EC9,9C1F4C0A-0ED7-4730-9A2A-A196E9DF9393
87D4B757-7638-4D04-9C77-245ACB5E9DCE,outputs,586AB602-EC6B-4903-9AF7-310EB1B173D1,CC426B9F-BF2D-46D4-8D61-6D35F6189DF4
2366236D-E109-4463-AB73-8E2C73AC63DC,outputs,3F0917A5-5161-47B5-BFB9-2A83EF144EC9,5DA62F90-E223-4431-9B8E-560BF060979D
E9C8DB43-6E73-48B1-9273-02D2C8FBCE8F,outputs,3F0917A5-5161-47B5-BFB9-2A83EF144EC9,4884285F-7F35-493B-B8D4-74EDCD38ECBA
0B47FED9-B70F-44AD-B72B-F61CA02A4013,outputs,0A87B003-DD86-4278-BEE3-EA831E5ACB4E,F9370C7F-0128-45DD-B135-447918888F96
0F9E9CD8-6B98-420C-9D90-A8BECCB58E17,outputs,3F0917A5-5161-47B5-BFB9-2A83EF144EC9,8911F52E-3717-4957-B189-A085D80C839C
5F906688-B345-4820-8C9E-EE8CDDF3E0EC,outputs,3F0917A5-5161-47B5-BFB9-2A83EF144EC9,C3097CA1-EDE1-4B55-81C6-E85231F8D242
C3DE4602-4806-493F-B5F6-6D2AAC7A1670,outputs,2C119325-8B95-41BA-BCBE-C572EEC2AC59,8299CF58-4A86-432A-801A-398893A29DF0
